	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	r1	r2	r3	r4	r5	r6
arhgef28a	1.8993371249321e-08	-0.337731503423642	0.023	0.16	0.000370408726104259	0.0289855072463768	0.0298507462686567	0.0238095238095238	0.0303030303030303	0.515873015873016	0.455555555555556
scube2	2.23995003163961e-08	-0.432876507360433	0.302	0.514	0.000436835055170356	1.73913043478261	1.05970149253731	0.698412698412698	0.606060606060606	1.01587301587302	1.16666666666667
nhsl1a	2.80076485315645e-08	-0.355750782545999	0.054	0.212	0.000546205161662571	0.0434782608695652	0.134328358208955	0.111111111111111	0.0606060606060606	0.46031746031746	0.955555555555556
ptprua	3.83008230677934e-08	-0.68915995232113	0.078	0.235	0.000746942651468106	0.101449275362319	0.17910447761194	0.150793650793651	0.106060606060606	2.44444444444444	0.411111111111111
mpp7a	5.21037746310812e-08	0.33840581958656	0.252	0.104	0.00101612781285535	0.188405797101449	0.0895522388059701	0.658730158730159	0.234848484848485	0.142857142857143	0.122222222222222
tiam1a	8.68812935679824e-08	-0.454734837325874	0.407	0.583	0.00169435898716279	0.594202898550725	1.11940298507463	0.69047619047619	0.848484848484848	2.41269841269841	1.4
gli2a	9.05021232238902e-08	-0.379892666217929	0.857	0.933	0.00176497240711231	3.2463768115942	4.08955223880597	3.15079365079365	3.24242424242424	4.97619047619047	4.51111111111111
antxr1c	1.04014380384955e-07	-0.347724397878841	0.078	0.231	0.0020284884462674	0.101449275362319	0.0746268656716418	0.0714285714285714	0.113636363636364	0.507936507936508	1
irx1b	1.11796486507157e-07	-0.319494707942691	0.085	0.242	0.00218025507986258	0.55072463768116	0.26865671641791	0.0555555555555556	0.143939393939394	0.26984126984127	0.466666666666667
col11a1b	2.18034771276349e-07	-0.493393859440589	0.085	0.233	0.00425211410943135	0.072463768115942	0.119402985074627	0.0952380952380952	0.113636363636364	0.801587301587302	1.48888888888889
zbtb16a	2.24178862749054e-07	-0.395376396878276	0.903	0.983	0.00437193618133205	11.2463768115942	14.1194029850746	8.84920634920634	9.67424242424242	12.1825396825397	12.3444444444444
tet3	2.83188599793578e-07	-0.386323344131331	0.767	0.87	0.00552274407317435	3.7536231884058	3.68656716417911	2.54761904761904	2.60606060606061	3.34126984126984	3.54444444444444
plxna1a	3.56311271584213e-07	-0.390763811201446	0.461	0.659	0.00694878241843532	2.40579710144928	1.85074626865672	1.28571428571429	1.34848484848485	1.73015873015873	1.94444444444444
nfasca	3.83680116201067e-07	0.452793094125209	0.236	0.099	0.00748252962615321	0.101449275362319	0.134328358208955	0.341269841269841	0.909090909090909	0.158730158730159	0.188888888888889
gria1a	5.37122305373825e-07	-0.352479944657345	0.043	0.173	0.0104749591994003	0.0144927536231884	0.0447761194029851	0.206349206349206	0.00757575757575758	1.4047619047619	0.0666666666666667
magi2a	5.67442234263399e-07	-0.577703650536409	0.442	0.585	0.0110662584526048	1.02898550724638	1.34328358208955	0.849206349206349	0.909090909090909	3.26190476190476	2
tet2	6.72112120042617e-07	-0.358106157212666	0.527	0.702	0.0131075305650711	1.63768115942029	1.80597014925373	1.18253968253968	1.10606060606061	1.36507936507936	2.11111111111111
plekhg7	6.98015275978006e-07	-0.347784942816252	0.128	0.281	0.0136126939121231	0.550724637681159	0.388059701492537	0.119047619047619	0.174242424242424	0.388888888888889	0.711111111111111
meis1b	1.05749190370173e-06	0.387010953461773	0.868	0.767	0.0206232071059912	1.49275362318841	4.74626865671642	4.5	4.04545454545455	2.62698412698412	2.86666666666667
chl1a	1.45398269160676e-06	-0.432549288054315	0.066	0.199	0.028355570451715	0.260869565217391	0.0895522388059701	0.111111111111111	0.0757575757575758	0.309523809523809	1.37777777777778
arrb2b	1.89594385555756e-06	0.409901071580655	0.407	0.248	0.0369746970710836	0.27536231884058	0.462686567164179	1.22222222222222	0.507575757575757	0.642857142857143	0.222222222222222
chst11	2.34363180978791e-06	-0.250559868811757	0.078	0.216	0.0457055075544839	0.36231884057971	0.343283582089552	0.142857142857143	0.0984848484848485	0.357142857142857	0.377777777777778
si:ch211-286o17.1	2.43086385617675e-06	-0.490484555320309	0.329	0.49	0.0474067069231591	2.21739130434783	1.70149253731343	0.563492063492063	0.719696969696969	0.571428571428571	1.03333333333333
skap2	2.72780172450675e-06	0.335741960930533	0.345	0.186	0.0531975892313306	0.0144927536231884	1.41791044776119	1.03174603174603	0.507575757575757	0.206349206349206	0.0111111111111111
robo1	3.50759323485669e-06	0.33416882670009	0.934	0.909	0.0684050832661751	6.59420289855073	6.43283582089552	4.8095238095238	7.62121212121212	3.46825396825396	4.23333333333333
cercam	3.88071991401923e-06	-0.276198642169021	0.298	0.482	0.0756817997632031	0.449275362318841	0.776119402985075	0.587301587301587	0.371212121212121	1.07936507936508	0.8
zbtb16b	4.15146390614341e-06	-0.326699456221163	0.783	0.922	0.0809618490976088	4.63768115942029	3.58208955223881	3.57142857142857	3.40151515151515	5.11111111111111	5.31111111111111
dusp2	6.0410079820515e-06	0.264627893447013	0.124	0.037	0.117811737665968	0.072463768115942	0	0.111111111111111	0.393939393939394	0.0634920634920635	0.0222222222222222
nab1b	6.04906250811728e-06	0.30656869511604	0.345	0.197	0.117968817033303	0.101449275362319	0.0597014925373134	1.31746031746032	0.113636363636364	1.06349206349206	0.1
zeb2b	6.68074500767314e-06	-0.315944893991226	0.302	0.464	0.130287889139642	0.507246376811594	0.880597014925373	0.5	0.515151515151515	1.23015873015873	0.877777777777778
nrp2a	6.97113118051871e-06	-0.397563029972596	0.054	0.171	0.135951000282476	1.07246376811594	0.149253731343284	0.0238095238095238	0.166666666666667	0.0476190476190476	0.0777777777777778
zfhx4	7.08653979327056e-06	-0.337010280198389	0.477	0.652	0.138201699048363	1.72463768115942	1.74626865671642	0.722222222222223	1.41666666666667	1.02380952380952	1.65555555555556
nlgn4xa	8.33038562745865e-06	0.315779034346344	0.128	0.041	0.162459180506699	0.0434782608695652	0.0447761194029851	0.53968253968254	0.0681818181818182	0.0714285714285714	0.0333333333333333
tle3b	1.00083706175246e-05	-0.313203228677567	0.213	0.365	0.195183243782964	0.652173913043478	0.477611940298508	0.46031746031746	0.31060606060606	0.920634920634921	0.722222222222222
spock1	1.03316581455266e-05	0.5832226702102	0.26	0.136	0.20148799715406	0.173913043478261	0.358208955223881	0.238095238095238	1.3030303030303	0.134920634920635	0.2
