	Cluster	HB10hpf	HB13hpf	HB16hpf	Cluster	CHB.1	CHB.2	CHB.3	FB	FB &  eye.2	FB & eye.1	FB & eye.5	FB & eye.8	HB.1	HB.2	HB.3	MB	MHB.1	MHB.2	MHB.3	NC.1	NC.2	SC.1	SC.2	SC.3	Cluster	CHB.1	CHB.2	CHB.3	Ciliated	FB.1	FB.2	FB.4	MB.1	MB.2	MB.3	MHB.1	MHB.2	MHB.3	MHB.4	MHB.5	Neuron	r1	r1 & r2	r2	r3	r4	r5	r6	SC.1	SC.2	SC.3	Cluster	CHB.1	CHB.2	CHB.3	CHB.4	Ciliated	DorsNT & NC	FB	MB.1	MB.2	MHB.1	MHB.2	MHB.3	Neuron	r1	r2	r3	r4	r5.1	r5.2	r6	SC.1	SC.2	SC.3
27	SC.1	43	38	52	SC.1	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	16	3	SC.1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	5	0	SC.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	19	1
28	SC.2	55	12	10	SC.2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	42	2	8	SC.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	SC.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	1
29	SC.3	10	22	30	SC.3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	SC.3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	SC.3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	28
30	SC.4	21	14	22	SC.4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	16	0	SC.4	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	SC.4	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0
31	NC.1	22	7	1	NC.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	2	0	0	0	NC.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	3	NC.1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	NC.2	23	2	2	NC.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	3	NC.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	NC.2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	Neuron.1	7	26	51	Neuron.1	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	Neuron.1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	18	0	1	0	0	1	0	0	3	0	0	Neuron.1	1	0	0	1	0	0	0	0	0	1	0	0	44	0	0	0	0	0	0	0	2	2	0
34	Neuron.2	2	18	16	Neuron.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	Neuron.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	Neuron.2	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0
35	Ciliated	3	24	22	Ciliated	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ciliated	0	0	0	23	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ciliated	0	0	0	0	21	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
36	Mitochondrial	5	10	2	Mitochondrial	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	Mitochondrial	1	3	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	Mitochondrial	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
