Var1	Var2	Var3	Freq
FB	29	HB16hpf	1
MB.2	29	HB16hpf	1
MHB.1	29	HB16hpf	1
MHB.3	29	HB16hpf	2
SC.1	29	HB16hpf	1
Ciliated	30	HB16hpf	1
MB.1	30	HB16hpf	12
r6	31	HB16hpf	22
r1	33	HB16hpf	5
r2	33	HB16hpf	20
r4	33	HB16hpf	1
r6	33	HB16hpf	1
SC.2	34	HB16hpf	1
Neuron	35	HB16hpf	16
Ciliated	36	HB16hpf	1
Ciliated	37	HB16hpf	1
Ciliated	39	HB16hpf	2
Neuron	40	HB16hpf	1
CHB.4	41	HB16hpf	1
r4	41	HB16hpf	1
